URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,130.0,43,0.502890170503525,0.09681029653228299,10.096045197740112,47.6776720761052,23.109486909538127,14.531073446327683,852.0,1787.0,2.3973139339675433,2.0,7.877448237269166
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,19.0,5,0.5833333090277788,0.06798866836263834,6.788461538461538,44.19263456090651,20.392438439747224,9.326923076923077,156.0,353.0,2.4787535410764874,1.0,8.226628895184136
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,17.0,9,0.30769229585798863,0.06060606046478774,12.257142857142858,33.7995337995338,18.422670662670665,16.771428571428572,145.0,429.0,2.0722610722610724,1.0,7.671328671328672
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,11.0,5,0.37499997656250145,0.0461095099535749,6.547169811320755,39.76945244956772,18.526648904355394,8.81132075471698,138.0,347.0,2.3285302593659942,1.0,7.763688760806916
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,15.0,1,0.8749999453125034,0.04359673012643943,12.655172413793103,36.51226158038147,19.66697359766983,19.93103448275862,134.0,367.0,2.100817438692098,1.0,7.724795640326976
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,9.0,10,-0.05263157617728546,0.05740181251540238,6.245283018867925,43.202416918429,19.779079974918773,8.49056603773585,143.0,331.0,2.2779456193353473,1.0,7.61631419939577
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,6.0,2,0.4999999375000079,0.031999999872,8.620689655172415,34.4,17.208275862068966,11.724137931034482,86.0,250.0,2.04,1.0,7.664
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,6.0,2,0.4999999375000079,0.03162055323470137,10.12,33.59683794466403,17.48673517786561,15.52,85.0,253.0,1.9604743083003953,1.0,7.774703557312253
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,7.0,9,-0.12499999218750048,0.05442176852237494,11.307692307692308,32.6530612244898,17.584301412872843,18.076923076923077,96.0,294.0,2.1904761904761907,1.0,7.870748299319728
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,20.0,6,0.5384615177514801,0.05496828741021504,16.310344827586206,45.66596194503171,24.790522709047167,24.482758620689655,216.0,473.0,2.3382663847780125,4.0,8.029598308668076
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,26.0,5,0.677419332986473,0.08635097468983015,6.773584905660377,39.83286908077994,18.64258159457613,9.320754716981131,143.0,359.0,2.2813370473537606,1.0,7.866295264623956
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,18.0,3,0.7142856802721105,0.04895104883694394,12.617647058823529,36.36363636363637,19.59251336898396,20.029411764705884,156.0,429.0,2.277389277389277,1.0,8.384615384615385
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,16.0,4,0.5999999700000015,0.054945054794106996,18.2,38.73626373626374,22.774505494505497,29.15,141.0,364.0,2.2445054945054945,8.0,7.6208791208791204
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,26.0,7,0.5757575583103771,0.07006369411876073,16.24137931034483,38.42887473460722,21.86810161798082,25.79310344827586,181.0,471.0,2.140127388535032,11.0,7.690021231422505
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,22.0,5,0.6296296063100145,0.059080962671595266,12.35135135135135,38.074398249452955,20.170299840321725,21.64864864864865,174.0,457.0,2.1575492341356672,24.0,7.597374179431072
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,33.0,6,0.6923076745562136,0.08387096756156781,12.236842105263158,33.11827956989247,18.142048670062252,21.263157894736842,154.0,465.0,1.9655913978494624,8.0,7.808602150537634
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,19.0,4,0.6521738846880919,0.05122494420662596,9.977777777777778,37.639198218262806,19.04679039841623,17.044444444444444,169.0,449.0,2.093541202672606,10.0,7.697104677060134
bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,27.0,5,0.6874999785156257,0.06412825638451251,12.794871794871796,31.863727454909817,17.863439699912647,23.05128205128205,159.0,499.0,2.1422845691382766,1.0,7.74749498997996
bctech2029,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,37.0,12,0.5102040712203251,0.09193245761363517,11.844444444444445,42.77673545966229,21.848471961642698,21.822222222222223,228.0,533.0,2.2157598499061915,23.0,7.971857410881801
bctech2030,https://insights.blackcoffer.com/end-to-end-tool-to-predict-biofuel-prices-using-ieso-data/,24.0,10,0.41176469377162667,0.07391304331758033,14.375,31.73913043478261,18.445652173913043,23.46875,146.0,460.0,2.0847826086956522,5.0,7.5804347826086955
bctech2031,https://insights.blackcoffer.com/etl-discovery-tool-using-llma-langchain-openai/,20.0,4,0.66666663888889,0.039669421422034015,14.069767441860465,36.36363636363637,20.173361522198732,22.558139534883722,220.0,605.0,2.097520661157025,16.0,7.636363636363637
bctech2032,https://insights.blackcoffer.com/gpt-ocr-api/,2.0,1,0.33333322222225925,0.010909090869421488,13.095238095238095,32.0,18.038095238095238,22.666666666666668,88.0,275.0,1.9018181818181819,7.0,6.865454545454545
bctech2033,https://insights.blackcoffer.com/dockerize-the-aws-lambda-for-serverless-architecture/,9.0,10,-0.05263157617728546,0.04834605585662581,11.909090909090908,41.73027989821883,21.455748322923895,17.363636363636363,164.0,393.0,2.3256997455470736,2.0,7.972010178117048
bctech2034,https://insights.blackcoffer.com/design-and-develop-a-product-recommendation-engine-based-on-the-features-of-products/,33.0,27,0.09999999833333337,0.10638297853478196,13.116279069767442,38.47517730496454,20.636582549892793,21.6046511627907,217.0,564.0,2.127659574468085,1.0,7.5212765957446805
bctech2035,https://insights.blackcoffer.com/database-discovery-tool-using-openai/,26.0,22,0.08333333159722227,0.10933940749581,10.452380952380953,44.64692482915717,22.03972231261525,16.285714285714285,196.0,439.0,2.2460136674259683,5.0,7.699316628701594
